TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xd88e398994b0,TCPv4,192.168.78.131,50703,150.171.28.10,443,ESTABLISHED,15536,msedge.exe,2024-10-12 05:48:23.000000 UTC
0,0xd88e398ae050,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2592,spoolsv.exe,2024-10-12 04:35:54.000000 UTC
0,0xd88e398ae050,TCPv6,::,49668,::,0,LISTENING,2592,spoolsv.exe,2024-10-12 04:35:54.000000 UTC
0,0xd88e398ae9f0,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,716,lsass.exe,2024-10-12 04:35:54.000000 UTC
0,0xd88e398aecb0,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2592,spoolsv.exe,2024-10-12 04:35:54.000000 UTC
0,0xd88e398aee10,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,716,lsass.exe,2024-10-12 04:35:54.000000 UTC
0,0xd88e398aee10,TCPv6,::,49669,::,0,LISTENING,716,lsass.exe,2024-10-12 04:35:54.000000 UTC
0,0xd88e3a46a4e0,TCPv4,192.168.78.131,50753,20.189.173.14,443,ESTABLISHED,15536,msedge.exe,2024-10-12 05:48:30.000000 UTC
0,0xd88e3a9db2b0,TCPv4,192.168.78.131,50748,13.107.42.254,443,ESTABLISHED,6740,SearchApp.exe,2024-10-12 05:48:30.000000 UTC
0,0xd88e3aaf8470,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,968,svchost.exe,2024-10-12 04:35:53.000000 UTC
0,0xd88e3aaf8b50,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,716,lsass.exe,2024-10-12 04:35:53.000000 UTC
0,0xd88e3aaf8b50,TCPv6,::,49664,::,0,LISTENING,716,lsass.exe,2024-10-12 04:35:53.000000 UTC
0,0xd88e3aaf9a70,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,716,lsass.exe,2024-10-12 04:35:53.000000 UTC
0,0xd88e3aaf9bd0,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,968,svchost.exe,2024-10-12 04:35:53.000000 UTC
0,0xd88e3aaf9bd0,TCPv6,::,135,::,0,LISTENING,968,svchost.exe,2024-10-12 04:35:53.000000 UTC
0,0xd88e3aaf9d30,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,552,wininit.exe,2024-10-12 04:35:53.000000 UTC
0,0xd88e3e26d850,UDPv4,0.0.0.0,61881,*,0,,1260,svchost.exe,2024-10-12 05:49:23.000000 UTC
0,0xd88e3e26d850,UDPv6,::,61881,*,0,,1260,svchost.exe,2024-10-12 05:49:23.000000 UTC
0,0xd88e3e4f4050,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1312,svchost.exe,2024-10-12 04:35:53.000000 UTC
