TreeDepth,Offset,Name
0,0xd88e3a4540b0,\\Windows\\System32\\drivers\\watchdog.sys
0,0xd88e3a4547e0,\\$Directory
0,0xd88e3a454ac0,\\Windows\\System32\\DriverStore\\FileRepository\\basicrender.inf_amd64_d3f5994a67770b50\\BasicRender.sys
0,0xd88e3a455640,\\Windows\\System32\\drivers\\npfs.sys
0,0xd88e3a4557b0,\\Windows\\System32\\drivers\\beep.sys
0,0xd88e3a455920,\\Windows\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_amd64_19e58b6267591a82\\BasicDisplay.sys
0,0xd88e3a455c00,\\Windows\\System32\\drivers\\dxgkrnl.sys
0,0xd88e3a456330,\\$Directory
0,0xd88e3a456a60,\\Windows\\System32\\drivers\\vmrawdsk.sys
0,0xd88e3a456eb0,\\Windows\\System32\\drivers\\msfs.sys
0,0xd88e3a4575e0,\\Windows\\System32\\drivers\\ndiscap.sys
0,0xd88e3a457a30,\\Windows\\System32\\drivers\\cimfs.sys
0,0xd88e3a880210,\\$LogFile
0,0xd88e3a8804f0,\\$BitMap
0,0xd88e3a8807d0,\\$Secure:$SDS:$DATA
0,0xd88e3a880ab0,\\$Mft
0,0xd88e3a880d90,\\$Secure:$SII:$INDEX_ALLOCATION
0,0xd88e3a881350,\\$MftMirr
0,0xd88e3a881ed0,\\$Mft::$BITMAP
0,0xd88e3a9be0a0,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,0xd88e3a9be210,\\$Extend\\$RmMetadata\\$TxfLog:$I30:$INDEX_ALLOCATION
0,0xd88e3a9be660,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xd88e3a9be940,\\:$I30:$INDEX_ALLOCATION
0,0xd88e3a9bec20,\\$Extend\\$UsnJrnl:$J:$DATA
0,0xd88e3a9bf350,\\$Extend\\$RmMetadata\\$Repair
0,0xd88e3a9bf7a0,\\$Extend\\$RmMetadata\\$Repair:$Verify:$DATA
0,0xd88e3a9bf910,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0xd88e3a9bfbf0,\\$Extend:$I30:$INDEX_ALLOCATION
0,0xd88e3a9bfed0,\\$Extend\\$RmMetadata\\$Repair:$Corrupt:$DATA
0,0xd88e3a9ec0b0,\\$Directory
0,0xd88e3a9ec220,\\$Directory
0,0xd88e3a9ec500,\\$Directory
0,0xd88e3a9ecac0,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops:$T:$DATA
0,0xd88e3a9ecda0,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xd88e3a9ed080,\\$Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,0xd88e3a9ed1f0,\\$Directory
0,0xd88e3a9ed4d0,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xd88e3a9ed640,\\:$I30:$INDEX_ALLOCATION
0,0xd88e3a9ed7b0,\\$Extend\\$Reparse:$R:$INDEX_ALLOCATION
0,0xd88e3a9eda90,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000003
0,0xd88e3a9ee330,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops
0,0xd88e3a9ee4a0,\\Windows\\System32\\drivers\\crashdmp.sys
0,0xd88e3a9ee780,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000012
0,0xd88e3a9ee8f0,TxfLog
0,0xd88e3a9eea60,KtmLog
0,0xd88e3a9eebd0,\\$Directory
0,0xd88e3a9ef190,\\Windows\\System32\\drivers\\Dumpstorport.sys
0,0xd88e3a9ef470,\\Windows\\System32\\drivers\\vm3dmp.sys
0,0xd88e3a9ef750,\\Windows\\System32\\drivers\\stornvme.sys
0,0xd88e3a9efe80,\\Windows\\System32\\drivers\\dumpfve.sys
0,0xd88e3aa7d670,\\Windows\\System32\\drivers\\filecrypt.sys
0,0xd88e3aa7d7e0,\\Windows\\System32\\drivers\\UCPD.sys
0,0xd88e3aa7e080,\\Windows\\System32\\vertdll.dll
0,0xd88e3aa7e1f0,\\Windows\\System32\\drivers\\tbs.sys
0,0xd88e3aa7e7b0,\\Windows\\System32\\ntdll.dll
0,0xd88e3aa7ea90,\\Windows\\System32\\drivers\\cdrom.sys
0,0xd88e3aa7ec00,\\Windows\\SysWOW64\\ntdll.dll
0,0xd88e3aa7eee0,\\$Directory
0,0xd88e3aa7f4a0,\\$Directory
0,0xd88e3aa80190,\\Windows\\System32\\drivers\\null.sys
