TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xd88e3989a080,166,-,N/A,False,2024-10-12 04:35:52.000000 UTC,N/A,-,-,-
1,352,4,smss.exe,0xd88e3abe9040,2,-,N/A,False,2024-10-12 04:35:52.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
1,2016,4,MemCompression,0xd88e3ea18040,94,-,N/A,False,2024-10-12 04:35:53.000000 UTC,N/A,MemCompression,-,-
1,108,4,Registry,0xd88e398e5080,4,-,N/A,False,2024-10-12 04:35:47.000000 UTC,N/A,Registry,-,-
0,476,468,csrss.exe,0xd88e3d2a8140,12,-,0,False,2024-10-12 04:35:52.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\WINDOWS\\system32\\csrss.exe
0,552,468,wininit.exe,0xd88e3dbb5080,1,-,0,False,2024-10-12 04:35:53.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\wininit.exe,wininit.exe,C:\\WINDOWS\\system32\\wininit.exe
1,880,552,fontdrvhost.ex,0xd88e3e462200,5,-,0,False,2024-10-12 04:35:53.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\fontdrvhost.exe,"""fontdrvhost.exe""",C:\\WINDOWS\\system32\\fontdrvhost.exe
1,716,552,lsass.exe,0xd88e3e25e0c0,13,-,0,False,2024-10-12 04:35:53.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\lsass.exe,C:\\WINDOWS\\system32\\lsass.exe,C:\\WINDOWS\\system32\\lsass.exe
1,684,552,services.exe,0xd88e3d2a3140,8,-,0,False,2024-10-12 04:35:53.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\services.exe,C:\\WINDOWS\\system32\\services.exe,C:\\WINDOWS\\system32\\services.exe
2,5636,684,svchost.exe,0xd88e40a0b080,4,-,0,False,2024-10-12 04:36:05.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceAndNoImpersonation -p -s FDResPub,C:\\WINDOWS\\system32\\svchost.exe
2,7684,684,svchost.exe,0xd88e419f62c0,15,-,0,False,2024-10-12 04:37:05.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s lfsvc,C:\\WINDOWS\\system32\\svchost.exe
2,1032,684,svchost.exe,0xd88e3e604340,4,-,0,False,2024-10-12 04:35:53.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -s W32Time,C:\\WINDOWS\\system32\\svchost.exe
2,3080,684,svchost.exe,0xd88e3ee38300,1,-,0,False,2024-10-12 04:35:54.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s DevQueryBroker,C:\\WINDOWS\\system32\\svchost.exe
2,2572,684,svchost.exe,0xd88e3ecd72c0,5,-,0,False,2024-10-12 04:35:54.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k NetSvcs -p -s iphlpsvc,C:\\WINDOWS\\System32\\svchost.exe
2,1040,684,svchost.exe,0xd88e3e609340,5,-,0,False,2024-10-12 04:35:53.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s nsi,C:\\WINDOWS\\system32\\svchost.exe
2,1048,684,svchost.exe,0xd88e3e607080,3,-,0,False,2024-10-12 04:35:53.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts,C:\\WINDOWS\\System32\\svchost.exe
2,3100,684,TeamViewer_Ser,0xd88e3ee4b300,20,-,0,False,2024-10-12 04:35:54.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Program Files\\TeamViewer\\TeamViewer_Service.exe,"""C:\\Program Files\\TeamViewer\\TeamViewer_Service.exe""",C:\\Program Files\\TeamViewer\\TeamViewer_Service.exe
2,4124,684,svchost.exe,0xd88e40315340,5,-,0,False,2024-10-12 04:35:54.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc,C:\\WINDOWS\\System32\\svchost.exe
2,2592,684,spoolsv.exe,0xd88e3ecd30c0,9,-,0,False,2024-10-12 04:35:54.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\spoolsv.exe,C:\\WINDOWS\\System32\\spoolsv.exe,C:\\WINDOWS\\System32\\spoolsv.exe
2,3108,684,vm3dservice.ex,0xd88e3ee4a080,2,-,0,False,2024-10-12 04:35:54.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\vm3dservice.exe,C:\\WINDOWS\\system32\\vm3dservice.exe,C:\\WINDOWS\\system32\\vm3dservice.exe
3,3572,3108,vm3dservice.ex,0xd88e40061280,2,-,1,False,2024-10-12 04:35:54.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\vm3dservice.exe,vm3dservice.exe -n,C:\\WINDOWS\\system32\\vm3dservice.exe
2,7204,684,svchost.exe,0xd88e411d22c0,6,-,0,False,2024-10-12 05:48:36.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost,C:\\WINDOWS\\System32\\svchost.exe
2,3120,684,VGAuthService.,0xd88e3ee37080,2,-,0,False,2024-10-12 04:35:54.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Program Files\\VMware\\VMware Tools\\VMware VGAuth\\VGAuthService.exe,"""C:\\Program Files\\VMware\\VMware Tools\\VMware VGAuth\\VGAuthService.exe""",C:\\Program Files\\VMware\\VMware Tools\\VMware VGAuth\\VGAuthService.exe
2,2100,684,svchost.exe,0xd88e3ea96300,2,-,0,False,2024-10-12 04:35:53.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder,C:\\WINDOWS\\System32\\svchost.exe
2,3128,684,svchost.exe,0xd88e3ee512c0,3,-,0,False,2024-10-12 04:35:54.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks,C:\\WINDOWS\\System32\\svchost.exe
2,9784,684,svchost.exe,0xd88e4242c340,2,-,0,False,2024-10-12 04:37:22.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s BthAvctpSvc,C:\\WINDOWS\\system32\\svchost.exe
2,2108,684,svchost.exe,0xd88e3ea98340,9,-,0,False,2024-10-12 04:35:53.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s FontCache,C:\\WINDOWS\\system32\\svchost.exe
2,13388,684,svchost.exe,0xd88e42fe3080,5,-,0,False,2024-10-12 05:44:35.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k appmodel -p -s camsvc,C:\\WINDOWS\\system32\\svchost.exe
2,3160,684,MsMpEng.exe,0xd88e39986080,32,-,0,False,2024-10-12 04:35:54.000000 UTC,N/A,\\Device\\HarddiskVolume4\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.24080.9-0\\MsMpEng.exe,"""C:\\ProgramData\\Microsoft\\Windows Defender\\platform\\4.18.24080.9-0\\MsMpEng.exe""",C:\\ProgramData\\Microsoft\\Windows Defender\\platform\\4.18.24080.9-0\\MsMpEng.exe
2,600,684,svchost.exe,0xd88e412c0080,8,-,0,False,2024-10-12 04:37:04.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s CDPSvc,C:\\WINDOWS\\system32\\svchost.exe
2,1632,684,svchost.exe,0xd88e3e8832c0,6,-,0,False,2024-10-12 04:35:53.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s UserManager,C:\\WINDOWS\\system32\\svchost.exe
3,2780,1632,sihost.exe,0xd88e40a10080,13,-,1,False,2024-10-12 04:37:03.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\sihost.exe,sihost.exe,C:\\WINDOWS\\system32\\sihost.exe
4,12392,2780,CalculatorApp.,0xd88e41eb1080,12,-,1,False,2024-10-12 04:37:53.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Program Files\\WindowsApps\\Microsoft.WindowsCalculator_11.2405.2.0_x64__8wekyb3d8bbwe\\CalculatorApp.exe,"""C:\\Program Files\\WindowsApps\\Microsoft.WindowsCalculator_11.2405.2.0_x64__8wekyb3d8bbwe\\CalculatorApp.exe"" ",C:\\Program Files\\WindowsApps\\Microsoft.WindowsCalculator_11.2405.2.0_x64__8wekyb3d8bbwe\\CalculatorApp.exe
2,3188,684,vmtoolsd.exe,0xd88e3ee6d300,13,-,0,False,2024-10-12 04:35:54.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Program Files\\VMware\\VMware Tools\\vmtoolsd.exe,"""C:\\Program Files\\VMware\\VMware Tools\\vmtoolsd.exe""",C:\\Program Files\\VMware\\VMware Tools\\vmtoolsd.exe
2,9332,684,svchost.exe,0xd88e3e603080,10,-,0,False,2024-10-12 05:39:46.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s wuauserv,C:\\WINDOWS\\system32\\svchost.exe
